,,,,,,,,,,,,,,,,,,,
순번,대학(원),학과(부),학년,이수구분,이수영역,학수번호,교과목명,교과목명(영문),담당교수,강의실,시간표(교시),시간표(시간),교시유형,학점,수업구분,수업유형,성적평가,집중이수제,원어강의구분
11,인문대학,국어국문학과,1,전공기초,전공기초,AIA6086001,언어와인간,LINGUISTICS AND HUMAN,안소진,제15호관 인문대학-119 강의실(중)-1[15-119]," [15-119:수(7-8A),목(8B-9)]"," [15-119:수(15:00~16:15),목(16:30~17:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
12,인문대학,국어국문학과,1,전공심화,전공심화,0000037001,2급한국어(2),Level 2 Korean(2),김인규,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:수(1-2A)(2B-3)], [15-120:수(09:00~10:15)(10:30~11:45)],75분,3,"교환학생,복수학위제대상",강의(이론),절대평가,일반(1~15주),원어강의(EN)
13,인문대학,국어국문학과,1,전공심화,전공심화,0000039001,3급한국어(2),Level 3 Korean(2),박효정,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:월(4-5A)(5B-6)], [15-120:월(12:00~13:15)(13:30~14:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
14,인문대학,국어국문학과,1,전공심화,전공심화,0000039002,3급한국어(2),Level 3 Korean(2),김정현,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:수(7-8A)(8B-9)], [15-115:수(15:00~16:15)(16:30~17:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
15,인문대학,국어국문학과,1,전공심화,전공심화,0000062001,2급한국어연습(2),Level 2 Korean Practice(2),김인규,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:수(7-8A)(8B-9)], [15-120:수(15:00~16:15)(16:30~17:45)],75분,3,"교환학생,복수학위제대상",강의(이론),절대평가,일반(1~15주),원어강의(EN)
16,인문대학,국어국문학과,1,전공심화,전공심화,0000064001,3급한국어연습(2),Level 3 Korean Practice(2),이희정,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:화(1-2A)(2B-3)], [15-115:화(09:00~10:15)(10:30~11:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
17,인문대학,국어국문학과,1,전공심화,전공심화,0000064002,3급한국어연습(2),Level 3 Korean Practice(2),박효정,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:월(7-8A)(8B-9)], [15-120:월(15:00~16:15)(16:30~17:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
18,인문대학,국어국문학과,1,전공심화,전공심화,0000552001,1급한국어(2),Level 1 Korean 2,채숙희,제15호관 인문대학-115 어학원강의실-2[15-115]," [15-115:화(5B-6),목(5B-6)]"," [15-115:화(13:30~14:45),목(13:30~14:45)]",75분,3,"교환학생,복수학위제대상",강의(이론),절대평가,일반(1~15주),원어강의(EN)
19,인문대학,국어국문학과,1,전공심화,전공심화,0000552002,1급한국어(2),Level 1 Korean 2,하신영,제15호관 인문대학-120 어학원강의실-1[15-120]," [15-120:화(5B-6),목(5B-6)]"," [15-120:화(13:30~14:45),목(13:30~14:45)]",75분,3,"교환학생,복수학위제대상",강의(이론),절대평가,일반(1~15주),원어강의(EN)
20,인문대학,국어국문학과,2,전공핵심,전공핵심,0004895001,한국의언어,The Korean Language,채숙희,제15호관 인문대학-119 강의실(중)-1[15-119]," [15-119:화(7-8A),목(7-8A)]"," [15-119:화(15:00~16:15),목(15:00~16:15)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
21,인문대학,국어국문학과,2,전공핵심,전공핵심,0004906001,현대문학사1,History of Korean Modern Literature 1,강용훈,제15호관 인문대학-503 전용어학실습실-3[15-503]," [15-503:월(2B-3),수(2B-3)]"," [15-503:월(10:30~11:45),수(10:30~11:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
22,인문대학,국어국문학과,2,전공핵심,전공핵심,0004906002,현대문학사1,History of Korean Modern Literature 1,강용훈,제15호관 인문대학-503 전용어학실습실-3[15-503]," [15-503:월(5B-6),수(5B-6)]"," [15-503:월(13:30~14:45),수(13:30~14:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
23,인문대학,국어국문학과,2,전공심화,전공심화,0000041001,4급한국어(2),Level 4 Korean(2),정미진,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:화(7-8A)(8B-9)], [15-115:화(15:00~16:15)(16:30~17:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
24,인문대학,국어국문학과,2,전공심화,전공심화,0000041002,4급한국어(2),Level 4 Korean(2),유민애,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:금(4-5A)(5B-6)], [15-120:금(12:00~13:15)(13:30~14:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
25,인문대학,국어국문학과,2,전공심화,전공심화,0000044001,5급한국어(2),Level 5 Korean(2),이희정,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:목(1-2A)(2B-3)], [15-115:목(09:00~10:15)(10:30~11:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
26,인문대학,국어국문학과,2,전공심화,전공심화,0000066001,4급한국어연습(2),Level 4 Korean Practice(2),한혜정,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:수(4-5A)(5B-6)], [15-115:수(12:00~13:15)(13:30~14:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
27,인문대학,국어국문학과,2,전공심화,전공심화,0000066002,4급한국어연습(2),Level 4 Korean Practice(2),정하라,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:월(7-8A)(8B-9)], [15-115:월(15:00~16:15)(16:30~17:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
28,인문대학,국어국문학과,2,전공심화,전공심화,0000068001,5급한국어연습(2),Level 5 Korean Practice(2),박효정,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:수(4-5A)(5B-6)], [15-120:수(12:00~13:15)(13:30~14:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
29,인문대학,국어국문학과,2,전공심화,전공심화,0004896001,현대희곡론,Study of Korean Modern drama,이여진,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:금(1-2A)(2B-3)], [15-503:금(09:00~10:15)(10:30~11:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
30,인문대학,국어국문학과,2,전공심화,전공심화,0004907001,고전시가의이해,Understanding of Korean Classical Poetry ,배은희,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:화(2B-3)(4-5A)], [15-503:화(10:30~11:45)(12:00~13:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
31,인문대학,국어국문학과,2,전공심화,전공심화,0005761001,한국문학과세계문학,Korean and World Literatures,장영은,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:금(7-8A)(8B-9)], [15-119:금(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
32,인문대학,국어국문학과,2,전공심화,전공심화,0008646001,한국한문의이해,Understanding of Chinese Classics,이채은,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:금(4-5A)(5B-6)], [15-503:금(12:00~13:15)(13:30~14:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
33,인문대학,국어국문학과,2,전공심화,전공심화,0010702001,시창작연습,Practicing writing poems,정우신,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:월(7-8A)(8B-9)], [15-503:월(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
34,인문대학,국어국문학과,2,전공심화,전공심화,0010769001,희곡시나리오창작연습,Scenario and Play Writing  ,이여진,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:화(1-2A)(2B-3)], [15-119:화(09:00~10:15)(10:30~11:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
35,인문대학,국어국문학과,3,전공심화,전공심화,0004855001,한국어문법교육론,Pedagogy of Korean Grammar,유민애,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:금(1-2A)(2B-3)], [15-119:금(09:00~10:15)(10:30~11:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
36,인문대학,국어국문학과,3,전공심화,전공심화,0004917001,한국어의어문규범,Norm of Korean Language,전진호,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:수(7-8A)(8B-9)], [15-503:수(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
37,인문대학,국어국문학과,3,전공심화,전공심화,0006750001,한국어의어휘와문법,Vocabulary and Grammar of Korean,최주희,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:목(1-2A)(2B-3)], [15-120:목(09:00~10:15)(10:30~11:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
38,인문대학,국어국문학과,3,전공심화,전공심화,0006750002,한국어의어휘와문법,Vocabulary and Grammar of Korean,한혜정,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:수(1-2A)(2B-3)], [15-115:수(09:00~10:15)(10:30~11:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
39,인문대학,국어국문학과,3,전공심화,전공심화,0006975001,한국어 이해의 기초(2),Basic of Korean Comprehension(2),최유정,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:월(1-2A)(2B-3)], [15-120:월(09:00~10:15)(10:30~11:45)],75분,3,"교환학생,복수학위제대상",강의(이론),절대평가,일반(1~15주),원어강의(EN)
40,인문대학,국어국문학과,3,전공심화,전공심화,0006975002,한국어 이해의 기초(2),Basic of Korean Comprehension(2),김선영,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:금(1-2A)(2B-3)], [15-115:금(09:00~10:15)(10:30~11:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
41,인문대학,국어국문학과,3,전공심화,전공심화,0006975003,한국어 이해의 기초(2),Basic of Korean Comprehension(2),최유정,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:금(1-2A)(2B-3)], [15-120:금(09:00~10:15)(10:30~11:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
42,인문대학,국어국문학과,3,전공심화,전공심화,0006976001,한국어 표현의 기초(2),Basic of Korean Expression(2),최유정,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:금(7-8A)(8B-9)], [15-120:금(15:00~16:15)(16:30~17:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
43,인문대학,국어국문학과,3,전공심화,전공심화,0006976002,한국어 표현의 기초(2),Basic of Korean Expression(2),김선영,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:금(4-5A)(5B-6)], [15-115:금(12:00~13:15)(13:30~14:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
44,인문대학,국어국문학과,3,전공심화,전공심화,0006977001,한국 언어문화 입문(2),An Introduction to Korean Language and Culture(2),정하라,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:월(4-5A)(5B-6)], [15-115:월(12:00~13:15)(13:30~14:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
45,인문대학,국어국문학과,3,전공심화,전공심화,0006977002,한국 언어문화 입문(2),An Introduction to Korean Language and Culture(2),정미진,제15호관 인문대학-115 어학원강의실-2[15-115], [15-115:월(1-2A)(2B-3)], [15-115:월(09:00~10:15)(10:30~11:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
46,인문대학,국어국문학과,3,전공심화,전공심화,0009346001,스토리텔링의이해,Understanding of Storytelling,이채은,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:금(7-8A)(8B-9)], [15-503:금(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
47,인문대학,국어국문학과,3,전공심화,전공심화,0010766001,한국어와정보기술,Korean Language and Information Technology,안소진,제15호관 인문대학-119 강의실(중)-1[15-119]," [15-119:수(4-5A),목(5B-6)]"," [15-119:수(12:00~13:15),목(13:30~14:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
48,인문대학,국어국문학과,3,전공심화,전공심화,AIA6045001,현대시론,STUDY OF MODERN POETRY,전병준,제15호관 인문대학-503 전용어학실습실-3[15-503]," [15-503:화(1-2A),목(1-2A)]"," [15-503:화(09:00~10:15),목(09:00~10:15)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
49,인문대학,국어국문학과,4,전공심화,전공심화,0004884001,문학비평연습,Seminar on Literary Criticism,정우신,제15호관 인문대학-119 강의실(중)-1[15-119], [15-119:월(4-5A)(5B-6)], [15-119:월(12:00~13:15)(13:30~14:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
50,인문대학,국어국문학과,4,전공심화,전공심화,0006978001,한국어 이해의 심화(2),Advanced Course of Korean Comprehension(2),최주희,제15호관 인문대학-120 어학원강의실-1[15-120], [15-120:목(7-8A)(8B-9)], [15-120:목(15:00~16:15)(16:30~17:45)],75분,3,"교환학생,복수학위제대상",강의(이론),상대평가,일반(1~15주),비대상
51,인문대학,국어국문학과,4,전공심화,전공심화,0010767001,한국어와사회,Korean Language and Society,안희제,제15호관 인문대학-503 전용어학실습실-3[15-503], [15-503:화(7-8A)(8B-9)], [15-503:화(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
52,인문대학,영어영문학과,전학년,전공심화,전공심화,0009062004,RISE,RISE,신나미,,,,50분(표준),3,일반과목,RISE(시간표 없음),이수인정,일반(1~15주),비대상
53,인문대학,영어영문학과,전학년,전공심화,전공심화,0009062005,RISE,RISE,윤소연,,,,50분(표준),3,일반과목,RISE(시간표 없음),이수인정,일반(1~15주),비대상
54,인문대학,영어영문학과,전학년,전공심화,전공심화,0009062006,RISE,RISE,전신화,,,,50분(표준),3,일반과목,RISE(시간표 없음),이수인정,일반(1~15주),비대상
55,인문대학,영어영문학과,전학년,전공심화,전공심화,0009062007,RISE,RISE,정채관,,,,50분(표준),3,일반과목,RISE(시간표 없음),이수인정,일반(1~15주),비대상
56,인문대학,영어영문학과,전학년,전공심화,전공심화,0009062008,RISE,RISE,김정태,,,,50분(표준),3,일반과목,RISE(시간표 없음),이수인정,일반(1~15주),비대상
57,인문대학,영어영문학과,1,전공기초,전공기초,0007800068,자기설계세미나 I,Self - Design Seminar I,황승현,제15호관 인문대학-116 강의실(대)-2[15-116], [15-116:수(5)], [15-116:수(13:00~13:50)],50분(표준),1,일반과목,자기설계세미나,이수인정,일반(1~15주),비대상
58,인문대학,영어영문학과,1,전공기초,전공기초,0007800069,자기설계세미나 I,Self - Design Seminar I,신나미,제15호관 인문대학-317 교육통계실습실[15-317], [15-317:수(5)], [15-317:수(13:00~13:50)],50분(표준),1,일반과목,자기설계세미나,이수인정,일반(1~15주),비대상
59,인문대학,영어영문학과,1,전공기초,전공기초,0007800070,자기설계세미나 I,Self - Design Seminar I,전신화,제15호관 인문대학-405 세미나실-4[15-405], [15-405:수(5)], [15-405:수(13:00~13:50)],50분(표준),1,일반과목,자기설계세미나,이수인정,일반(1~15주),비대상
60,인문대학,영어영문학과,1,전공핵심,전공핵심,AIB6093001,영어회화(1),ENGLISH CONVERSATION(1),알라나 커밍스,제15호관 인문대학-403 전용어학실습실-3[15-403]," [15-403:월(3),수(1)]"," [15-403:월(11:00~11:50),수(09:00~09:50)]",50분(표준),1,일반과목,실험실습,상대평가,일반(1~15주),원어강의(EN)
61,인문대학,영어영문학과,1,전공핵심,전공핵심,AIB6093002,영어회화(1),ENGLISH CONVERSATION(1),알라나 커밍스,제15호관 인문대학-116 강의실(대)-2[15-116]," [15-116:화(1),금(1)]"," [15-116:화(09:00~09:50),금(09:00~09:50)]",50분(표준),1,일반과목,실험실습,상대평가,일반(1~15주),원어강의(EN)
62,인문대학,영어영문학과,1,전공핵심,전공핵심,AIB6093003,영어회화(1),ENGLISH CONVERSATION(1),Anthony Wayne Thompson IV,제15호관 인문대학-116 강의실(대)-2[15-116]," [15-116:월(3),수(6)]"," [15-116:월(11:00~11:50),수(14:00~14:50)]",50분(표준),1,일반과목,실험실습,상대평가,일반(1~15주),원어강의(EN)
63,인문대학,영어영문학과,1,전공핵심,전공핵심,AIB6093004,영어회화(1),ENGLISH CONVERSATION(1),Anthony Wayne Thompson IV,제15호관 인문대학-403 전용어학실습실-3[15-403]," [15-403:화(9),금(1)]"," [15-403:화(17:00~17:50),금(09:00~09:50)]",50분(표준),1,일반과목,실험실습,상대평가,일반(1~15주),원어강의(EN)
64,인문대학,영어영문학과,1,전공심화,전공심화,0006969001,영문법의이해,Understanding of English Grammar,윤소연,"제15호관 인문대학-118B 강의실[15-118B], 제15호관 인문대학-403 전용어학실습실-3[15-403]", [15-118B:화(7-8A)] [15-403:목(7-8A)], [15-118B:화(15:00~16:15)] [15-403:목(15:00~16:15)],75분,3,일반과목,강의(이론),절대평가,일반(1~15주),원어강의(EN)
65,인문대학,영어영문학과,1,전공심화,전공심화,0007859001,영문학의기초,Foundations of English Literature,신나미,제15호관 인문대학-403 전용어학실습실-3[15-403]," [15-403:수(7-8A),금(7-8A)]"," [15-403:수(15:00~16:15),금(15:00~16:15)]",75분,3,일반과목,강의(이론),절대평가,일반(1~15주),원어강의(EN)
66,인문대학,영어영문학과,1,전공심화,전공심화,0007859002,영문학의기초,Foundations of English Literature,황연,제15호관 인문대학-317 교육통계실습실[15-317]," [15-317:목(4-5A),금(4-5A)]"," [15-317:목(12:00~13:15),금(12:00~13:15)]",75분,3,일반과목,강의(이론),절대평가,일반(1~15주),원어강의(EN)
67,인문대학,영어영문학과,1,전공심화,전공심화,AIB6103001,실용영어(1),PRACTICAL ENGLISH(1),정채관,"제15호관 인문대학-113 강의실(교육대학원)[15-113], 제15호관 인문대학-317 교육통계실습실[15-317]", [15-113:화(2B-3)] [15-317:금(2B-3)], [15-113:화(10:30~11:45)] [15-317:금(10:30~11:45)],75분,3,일반과목,e-Learning,상대평가,일반(1~15주),비대상
68,인문대학,영어영문학과,2,전공기초,전공기초,AIB6007001,영어회화(3),ENGLISH CONVERSATION(3),알라나 커밍스,"제15호관 인문대학-116 강의실(대)-2[15-116], 제15호관 인문대학-317 교육통계실습실[15-317]", [15-116:수(4)] [15-317:월(4)], [15-116:수(12:00~12:50)] [15-317:월(12:00~12:50)],50분(표준),1,일반과목,실험실습,상대평가,일반(1~15주),원어강의(EN)
69,인문대학,영어영문학과,2,전공기초,전공기초,AIB6097001,영작문(2),ENGLISH COMPOSITION(2),알라나 커밍스,제15호관 인문대학-403 전용어학실습실-3[15-403]," [15-403:월(6),수(6)]"," [15-403:월(14:00~14:50),수(14:00~14:50)]",50분(표준),1,일반과목,실험실습,상대평가,일반(1~15주),원어강의(EN)
70,인문대학,영어영문학과,2,전공기초,전공기초,AIB6097002,영작문(2),ENGLISH COMPOSITION(2),Anthony Wayne Thompson IV,"제15호관 인문대학-116 강의실(대)-2[15-116], 제15호관 인문대학-403 전용어학실습실-3[15-403]", [15-116:금(3)] [15-403:수(3)], [15-116:금(11:00~11:50)] [15-403:수(11:00~11:50)],50분(표준),1,일반과목,실험실습,상대평가,일반(1~15주),원어강의(EN)
71,인문대학,영어영문학과,2,전공핵심,전공핵심,AIB6001001,영어학입문,INTRODUCTORY ENGLISH LIGUISTICS,김정태,제15호관 인문대학-116 강의실(대)-2[15-116]," [15-116:화(2B-3),목(2B-3)]"," [15-116:화(10:30~11:45),목(10:30~11:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
72,인문대학,영어영문학과,2,전공핵심,전공핵심,AIB6001002,영어학입문,INTRODUCTORY ENGLISH LIGUISTICS,김정태,제15호관 인문대학-116 강의실(대)-2[15-116]," [15-116:화(7-8A),목(5B-6)]"," [15-116:화(15:00~16:15),목(13:30~14:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
73,인문대학,영어영문학과,2,전공심화,전공심화,0006945001,아동&청소년문학,Literature of Children and Youth,전신화,제15호관 인문대학-403 전용어학실습실-3[15-403]," [15-403:화(5B-6),수(8B-9)]"," [15-403:화(13:30~14:45),수(16:30~17:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
74,인문대학,영어영문학과,2,전공심화,전공심화,0010770001,영시산책,Introduction to Poetry,하인혜,제15호관 인문대학-116 강의실(대)-2[15-116]," [15-116:수(7-8A),목(7-8A)]"," [15-116:수(15:00~16:15),목(15:00~16:15)]",75분,3,일반과목,강의(이론),절대평가,일반(1~15주),원어강의(EN)
75,인문대학,영어영문학과,2,전공심화,전공심화,0010771001,영어와심리,English and Psychology,윤소연,제15호관 인문대학-403 전용어학실습실-3[15-403]," [15-403:화(4-5A),목(4-5A)]"," [15-403:화(12:00~13:15),목(12:00~13:15)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
76,인문대학,영어영문학과,2,전공심화,전공심화,AIB6011001,희곡개론,INTRODUCTION TO DRAMA,황연,"제15호관 인문대학-116 강의실(대)-2[15-116], 제15호관 인문대학-403 전용어학실습실-3[15-403]", [15-116:금(7-8A)] [15-403:목(8B-9)], [15-116:금(15:00~16:15)] [15-403:목(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
77,인문대학,영어영문학과,3,전공기초,전공기초,AIB6067001,중급영어회화(1),INTERMEDIATE ENGLISH CONVERSATION(1),알라나 커밍스,"제15호관 인문대학-116 강의실(대)-2[15-116], 제15호관 인문대학-403 전용어학실습실-3[15-403]", [15-116:수(3)] [15-403:금(6)], [15-116:수(11:00~11:50)] [15-403:금(14:00~14:50)],50분(표준),1,일반과목,실험실습,상대평가,일반(1~15주),원어강의(EN)
78,인문대학,영어영문학과,3,전공기초,전공기초,AIB6067002,중급영어회화(1),INTERMEDIATE ENGLISH CONVERSATION(1),Anthony Wayne Thompson IV,"제15호관 인문대학-116 강의실(대)-2[15-116], 제15호관 인문대학-118A 강의실[15-118A]", [15-116:월(4)] [15-118A:화(6)], [15-116:월(12:00~12:50)] [15-118A:화(14:00~14:50)],50분(표준),1,일반과목,실험실습,상대평가,일반(1~15주),원어강의(EN)
79,인문대학,영어영문학과,3,전공핵심,전공핵심,0004284001,영국문학사,History of English Literature,하인혜,제15호관 인문대학-403 전용어학실습실-3[15-403]," [15-403:화(1-2A),목(1-2A)]"," [15-403:화(09:00~10:15),목(09:00~10:15)]",75분,3,일반과목,강의(이론),절대평가,일반(1~15주),원어강의(EN)
80,인문대학,영어영문학과,3,전공핵심,전공핵심,0004284002,영국문학사,History of English Literature,하인혜,제15호관 인문대학-403 전용어학실습실-3[15-403]," [15-403:화(2B-3),목(2B-3)]"," [15-403:화(10:30~11:45),목(10:30~11:45)]",75분,3,일반과목,강의(이론),절대평가,일반(1~15주),원어강의(EN)
81,인문대학,영어영문학과,3,전공심화,전공심화,0007865001,영미드라마와문화,English & American Drama and Culture,황연,"제15호관 인문대학-118B 강의실[15-118B], 제15호관 인문대학-403 전용어학실습실-3[15-403]", [15-118B:금(2B-3)] [15-403:목(5B-6)], [15-118B:금(10:30~11:45)] [15-403:목(13:30~14:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
82,인문대학,영어영문학과,3,전공심화,전공심화,0009349001,영어권 작가 연구,Studies in Global Anglophone Writers,신나미,"제15호관 인문대학-116 강의실(대)-2[15-116], 제15호관 인문대학-118B 강의실[15-118B]", [15-116:금(4-5A)] [15-118B:화(4-5A)], [15-116:금(12:00~13:15)] [15-118B:화(12:00~13:15)],75분,3,일반과목,강의(이론),절대평가,일반(1~15주),원어강의(EN)
